
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	188	06:30:19	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	189	06:30:19	*	$GPGGA,063025.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*61
	190	06:30:20	*	$GPRMC,063025.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*68
	191	06:30:20	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	192	06:30:20	*	$GPGGA,063026.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*62
	193	06:30:21	*	$GPGSA,A,3,32,31,13,20,16,30,,,,,,,3.9,1.8,3.5*30
	194	06:30:21	*	$GPGSV,3,1,12,20,67,194,32,23,56,333,18,16,54,111,29,32,48,154,18*76
	195	06:30:21	*	$GPGSV,3,2,12,30,43,062,23,13,33,306,29,07,19,243,,31,14,049,18*7F
	196	06:30:21	*	$GPGSV,3,3,12,04,09,303,16,01,08,205,08,03,05,134,,06,03,119,*7A
	197	06:30:21	*	$GPRMC,063026.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	198	06:30:21	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	199	06:30:21	*	$GPGGA,063027.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*63
	200	06:30:21	*	$GPRMC,063027.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6A
	201	06:30:22	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	202	06:30:22	*	$GPGGA,063028.000,3334.5666,N,11739.7744,W,1,06,1.8,140.0,M,-34.4,M,,0000*6C
	203	06:30:23	*	$GPRMC,063028.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*65
	204	06:30:23	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	205	06:30:23	*	$GPGGA,063029.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*64
	206	06:30:24	*	$GPRMC,063029.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*64
	207	06:30:24	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	208	06:30:24	*	$GPGGA,063030.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6C
	209	06:30:25	*	$GPRMC,063030.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6C
	210	06:30:25	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	211	06:30:25	*	$GPGGA,063031.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6D
	212	06:30:25	*	$GPGSA,A,3,31,13,20,16,30,,,,,,,,5.8,3.0,4.9*37
	213	06:30:26	*	$GPGSV,3,1,12,20,67,194,31,23,56,333,19,16,54,111,29,32,48,154,18*74
	214	06:30:26	*	$GPGSV,3,2,12,30,43,062,23,13,33,306,28,07,19,243,11,31,14,049,19*7F
	215	06:30:26	*	$GPGSV,3,3,12,04,09,303,16,01,08,205,10,03,05,134,,06,03,119,*73
	216	06:30:26	*	$GPRMC,063031.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6D
	217	06:30:26	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	218	06:30:26	*	$GPGGA,063032.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6E
	219	06:30:26	*	$GPRMC,063032.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6E
	220	06:30:27	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	221	06:30:27	*	$GPGGA,063033.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6F
	222	06:30:27	*	$GPRMC,063033.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6F
	223	06:30:27	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	224	06:30:28	*	$GPGGA,063034.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*68
	225	06:30:28	*	$GPRMC,063034.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*68
	226	06:30:29	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	227	06:30:29	*	$GPGGA,063035.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*69
	228	06:30:30	*	$GPRMC,063035.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*69
	229	06:30:30	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	230	06:30:30	*	$GPGGA,063036.000,3334.5666,N,11739.7744,W,1,05,3.0,140.0,M,-34.4,M,,0000*6A
	231	06:30:30	*	$GPGSA,A,3,31,13,20,16,30,,,,,,,,5.7,3.0,4.9*38
	232	06:30:31	*	$GPGSV,3,1,12,20,67,194,31,23,56,333,19,16,54,111,29,32,48,154,16*7A
	233	06:30:31	*	$GPGSV,3,2,12,30,43,062,22,13,33,306,27,07,19,243,,31,14,049,18*70
	234	06:30:31	*	$GPGSV,3,3,12,04,09,303,17,01,08,205,16,03,05,134,,06,03,119,*74
	235	06:30:31	*	$GPRMC,063036.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6A
	236	06:30:31	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
